customer_id	account_number	raw_first_name	raw_last_name	raw_email	raw_phone	raw_country	raw_city	account_type	raw_kyc_status	bvn_nin	annual_income_local	local_currency	raw_dob	raw_account_open_date
1	NXB00000001	 Danielle 	johnson	john21@example.net	96001338908	Kenya	Robinsonshire	Business	 Verified 	21611256783	30247200.62	KES	09/05/1991	20/11/2016
2	NXB00000002	Joshua	booth	helenpeterson@example.org	51161559407	Nigeria	Millerport	Business	FAILED	93234078442	43947663.06	NGN	02/01/1961	2022-03-28
3	NXB00000003	Maria	Montgomery	barbara10@example.net		Kenya	Port Keith	Corporate	VERIFIED	67943221131	36346835.2	KES	13/10/2000	02/01/2016
4	NXB00000004	Christopher	 Hall 	jamesshawn@example.com	55341928327	Nigeria	Lake Mark	Current	 Verified 	98414026011	26099904.75	NGN	10/25/1983	2024-06-26
5	NXB00000005	KAYLA	brown	trujillorichard@example.org	95376724238	Ghana	Hurstfurt	Savings	pending	86000789754	2978221.08	GHS	22-Jul-1963	01/30/2020
6	NXB00000006	michael	osborn	williamdavis@example.org	22691669784	Nigeria	Lake Nicoleview	Corporate	failed	79435141966	3805555.55	NGN	1999-02-08	2021-12-18
7	NXB00000007	kayla	Peterson	ryan70@example.net	82814893252	South Africa	New Mariotown	Corporate	under review	35318497241	12194138.51	ZAR	03/25/1996	2021-10-04
8	NXB00000008	daniel	COX	john39@example.org	71822782489	Nigeria	Lake Larry	Corporate	PENDING	60512510281	36298820.54	NGN	11/07/1966	2017-10-03
9	NXB00000009	WANDA	SANTOS	clam@example.org	31509839301	Ghana	North Micheleland	Corporate	 Verified 	15012232280	23718811.02	GHS	12/21/1997	17-Sep-2017
10	NXB00000010	 Willie 	ramirez	ilewis@example.net	37631165667	South Africa	South Jessicaville	Savings	FAILED	96595503870	30497532.4	ZAR	1961-11-23	03/26/2019
11	NXB00000011	 John 	 Lee 	ltaylor@example.com	31781080132	Nigeria	Lewisfurt	Corporate	PENDING	59476546424	39426043.7	NGN	26/11/1985	06-Jun-2023
12	NXB00000012	 Rachel 	martin	gallowayjoseph@example.com	68723430980	Kenya	New Thomashaven	Savings	FAILED	91919702532	49738372.24	KES	07-Oct-1997	18/04/2016
13	NXB00000013	Eric	 Yu 	yorkcasey@example.org	61939909169	Ghana	Sarahborough	Current	VERIFIED	66760442806	38866066.86	GHS	08/28/1993	01/17/2020
14	NXB00000014	elizabeth	EDWARDS	randy47@example.com	07991183842	South Africa	West Justin	Current	EXPIRED	75510792354	20262339.7	ZAR	23/12/1991	03/02/2019
15	NXB00000015	samuel	daniels	cheryl80@example.net	12411824493	Kenya	Williamview	Savings	failed	15901438158	17852477.97	KES	16/10/2000	12/12/2024
16	NXB00000016	 Rebecca 	MATHIS	waltersmaria@example.org	52427868011	Nigeria	Port Mikeside	Corporate	verified	54463573472	10077225.44	NGN	05/10/2001	2015-02-15
17	NXB00000017	EARL	ANDERSON	michael05@example.org	15869232260	Nigeria	Phambury	Current	PENDING	11594577205	22693753.57	NGN	25/12/1974	22-Nov-2018
18	NXB00000018	JOSEPH	 Cobb 	reyesbenjamin@example.com	37543303654	Nigeria	Darlenefurt	Corporate	under review	81999284062	2289718.12	NGN	1994-12-16	20/09/2016
19	NXB00000019	Erin	anthony	sheila14@example.org	01965569816	Ghana	Bradleychester	Current	FAILED	92004624915	19502532.01	GHS	09/09/1977	2015-06-21
20	NXB00000020	 Aaron 	frost	michaeljones@example.net	95148465648	Nigeria	Ortegafurt	Corporate	 Verified 		21632118.87	NGN	27-Jun-1985	2017-05-12
21	NXB00000021	 Erica 	ORR	richard04@example.com		Nigeria	South Kristi	Current	EXPIRED	77313355121	6154732.42	NGN	10/01/1990	07-Feb-2024
22	NXB00000022	 Catherine 	Morris	nramos@example.net	21489513433	South Africa	East Traceyland	Business	UNDER REVIEW	29442067782	33553717.13	ZAR	21-Jun-1997	01/16/2024
23	NXB00000023	Stanley	Mercado	jennifercruz@example.com	20163287083	Nigeria	Port Steven	Business	EXPIRED	65797264063	3038685.23	NGN	17-Jul-1986	28-Dec-2023
24	NXB00000024	amanda	hansen	stephanie79@example.net	87277434873	Nigeria	Lake Justinview	Corporate	 Verified 	26862263376	35020395.34	NGN	09-Sep-1982	18/08/2019
25	NXB00000025	matthew	orozco	taylorjesse@example.net	31665876036	Ghana	Port Nicoleshire	Corporate	verified	56278126761	46343162.99	GHS	21/07/1962	21/07/2019
26	NXB00000026	Omar	Smith	kenneth66@example.net	73467065627	Nigeria	South Brittanytown	Savings	failed	75436757306	44015739.26	NGN	23/01/1982	08/07/2021
27	NXB00000027	christopher	patterson	qwhite@example.com	37556464170	Ghana	Jeffreyland	Business	 Verified 	55517986799	29875579.05	GHS	1998-04-09	2016-02-17
28	NXB00000028	 Kimberly 	 Pearson 	herringjames@example.org		Nigeria	East David	Savings	 Verified 	18554875949	603319.44	NGN	1967-12-19	30-Jun-2016
29	NXB00000029	Elizabeth	ELLIOTT	stevenscott@example.com	99124190496	UAE	New Hannahbury	Savings	 Verified 	52489594901	16842016.07	AED	1961-09-30	2015-06-11
30	NXB00000030	 Curtis 	 Barton 	hoganashlee@example.org	86518506716	UAE	South Gregory	Savings	failed	51203211093	30964036.71	AED	1983-08-07	30-Apr-2024
31	NXB00000031	Aimee	santos	umarshall@example.net	53147379965	Nigeria	Hunterborough	Savings	EXPIRED	42669598264	34607085.37	NGN	08/06/1961	22-Jul-2024
32	NXB00000032	 Michael 	Green	nicole48@example.org	13678377701	South Africa	Holtport	Business	failed	65038451224	21189495.1	ZAR	09/27/2001	28-Nov-2023
33	NXB00000033	elizabeth	wood	ronald85@example.com	44431351823	South Africa	Jennyhaven	Savings	verified	87561732443	43819510.63	ZAR	1966-08-16	01/13/2020
34	NXB00000034	Candice	Hooper	kennethward@example.com	82400842710	Nigeria	Mendozamouth	Current	EXPIRED	67704323732	6569615.92	NGN	25-Nov-1988	12/14/2022
35	NXB00000035	jack	 Williams 	ewilson@example.com		United States	Joneston	Current	UNDER REVIEW	14578672895	2053285.86	USD	07-Apr-1998	05/15/2019
36	NXB00000036	 Edward 	Shepherd	christopher31@example.net	99938677496	UAE	New Susanville	Corporate	 Verified 	56453426518	37391422.2	AED	24/09/1991	20-May-2022
37	NXB00000037	stacey	CLARK	josephmiller@example.org	81206797403	United States	Jonesbury	Current	failed	20375786458	24601263.11	USD	01/03/1975	06/22/2015
38	NXB00000038	Sandra	french	ronaldstephens@example.net	42102499471	Nigeria	Benderhaven	Current	under review	95938967589	18356012.81	NGN	21-May-1975	2018-10-13
39	NXB00000039	amber	kim	prestonjessica@example.net	01399049027	Nigeria	Howardshire	Current	UNDER REVIEW	81915157702	14035578.73	NGN	07/11/1977	2019-11-17
40	NXB00000040	Ryan	 Olsen 	harrisonricky@example.com	25674680715	Kenya	Port Richardhaven	Savings	failed	11428529361	20663146.8	KES	1988-02-16	27/04/2020
41	NXB00000041	mallory	Smith	mgutierrez@example.net	97703482477	United States	Lake Eric	Current	EXPIRED	49791585672	44629903.2	USD	1998-03-23	02/28/2024
42	NXB00000042	Andrea	TRAN	walkermaureen@example.org	12748467737	South Africa	Leehaven	Current	VERIFIED	73657888406	12329508.44	ZAR	06/02/1960	2015-07-15
43	NXB00000043	 Julie 	TAYLOR	hillkristy@example.com	84044997278	Germany	Andreaside	Business	pending	17143880083	25083462.24	EUR	01/09/1986	27-Dec-2020
44	NXB00000044	 Nicholas 	Cantu	tinaallen@example.com	60576627028	Germany	Port Meganville	Current	PENDING	38587742715	1203462.04	EUR	1979-04-07	09/08/2018
45	NXB00000045	Alicia	bryant	robertpena@example.org	74596158657	Kenya	East Crystalport	Business	failed		21070994.53	KES	21/08/2000	04/15/2017
46	NXB00000046	Wendy	FRANCIS	wgood@example.net	72400504556	Ghana	Knightburgh	Savings	 Verified 	26635358236	42724999.17	GHS	02/24/1960	28-Sep-2015
47	NXB00000047	GEORGE	 Miller 	pharvey@example.com	37474074821	Nigeria	Daniellechester	Savings	EXPIRED	94473409793	14275878.06	NGN	26-Sep-1963	2023-11-06
48	NXB00000048	Hannah	BRYANT	james67@example.org	69594406409	Ghana	Wallport	Savings	verified	27876908581	17434008.79	GHS	06/02/1983	14-May-2020
49	NXB00000049	 Kimberly 	HALL	jeffery39@example.com	10470952145	Nigeria	East Kristin	Corporate	FAILED	36489309649	31243216.64	NGN	1981-09-07	05/09/2023
50	NXB00000050	 Nancy 	 Diaz 	maria47@example.com	17123685160	UAE	South Miguelview	Corporate	UNDER REVIEW	60004274367	10356097.34	AED	1961-11-18	01/30/2020
51	NXB00000051	Brenda	Carson	daniel37@example.org		Nigeria	Rosebury	Corporate	VERIFIED	57114003376	43169338.9	NGN	10/28/1963	2024-06-15
52	NXB00000052	deborah	 Reid 	tblankenship@example.net	12004711382	South Africa	Ellenside	Corporate	PENDING	87292814196	36432232.19	ZAR	1975-04-14	2022-01-03
53	NXB00000053	Robert	 Newton 	nicolepena@example.com	40537735158	Germany	Hillville	Business	VERIFIED	26572805271	3218193.81	EUR	06/19/1973	21-Oct-2022
54	NXB00000054	Stacy	 Holloway 	batesdarlene@example.net	05329318393	UAE	Port Rachel	Savings	PENDING	20152380308	25165208.81	AED	17-Feb-1993	2019-07-25
55	NXB00000055	AARON	garrison	vanessafernandez@example.org	02053950240	Nigeria	Lake Brycemouth	Savings	UNDER REVIEW	23371840309	48744634.95	NGN	13-Jun-1994	2018-07-27
56	NXB00000056	KIMBERLY	palmer	hayesjeffrey@example.net	84700766177	Nigeria	Charleneland	Savings	failed	86281343936	37864611.25	NGN	2000-12-14	07-Feb-2024
57	NXB00000057	 David 	WEBER	oscar98@example.com	89611836736	United States	Perryville	Business	under review	45791107306	37184168.91	USD	1966-02-20	2016-01-22
58	NXB00000058	Larry	 Edwards 	nicholas27@example.org		Nigeria	Port Christopherchester	Savings	failed	87991481952	47013029.95	NGN	02/24/2000	02-Dec-2015
59	NXB00000059	COLIN	RODGERS	angelawillis@example.net	16560494519	Nigeria	Lake Timothy	Corporate	FAILED	32018843158	37024152.68	NGN	11/17/1996	2019-07-29
60	NXB00000060	melanie	 Bell 	danny49@example.org	89980940244	South Africa	East Mollyshire	Current	VERIFIED	37615450512	30856268.87	ZAR	06/04/1977	02-Apr-2024
61	NXB00000061	 Diane 	Jones	davisalyssa@example.com	75254599102	Ghana	Lake Christophermouth	Business	FAILED	26705566060	35491765.93	GHS	09/06/1971	2015-01-06
62	NXB00000062	ebony	tucker	nperry@example.net	56149784036	Ghana	East Kevinborough	Savings	FAILED	40237455373	49908176.44	GHS	1993-05-31	2023-03-15
63	NXB00000063	Katrina	DURAN	mark07@example.net	22683885160	South Africa	Morsemouth	Savings	FAILED	25965409225	41583550.03	ZAR	13/08/1960	14-Mar-2016
64	NXB00000064	BARBARA	Berry	zroberts@example.org	29751613696	Nigeria	Harrellmouth	Business	under review	71310935575	33324426.87	NGN	06/23/1998	26/04/2017
65	NXB00000065	jeffrey	 Maxwell 	dixondaniel@example.net	55231243292	Ghana	Marshallshire	Corporate	failed	16173804261	12979507.55	GHS	09/06/1979	2016-10-11
66	NXB00000066	 Kathleen 	Cole	michelle52@example.com		Germany	South Scottport	Current	under review	28413426473	14530585.54	EUR	10/12/1967	2023-08-17
67	NXB00000067	 Laura 	Vargas	william47@example.com	05411998679	Kenya	Stoutshire	Business	FAILED	37699717585	34577329.76	KES	12/05/1972	19-May-2019
68	NXB00000068	denise	MORRIS	dmason@example.com	51820377889	Nigeria	Samanthafurt	Current	EXPIRED	41716536676	49331409.33	NGN	09/30/1984	25-Mar-2016
