customer_id,full_name,transaction_count,total_usd_volume,customer_segment
992,"Robert Morales",19,27310264.85,Whale
1186,"Justin Le",17,25333936.00,Whale
1556,"Gary Wilson",16,24145221.59,Whale
93,"Christine Randall",17,23910232.85,Whale
578,"Cynthia Jordan",19,23888897.81,Whale
1452,"Shannon Avila",13,21834203.77,Whale
812,"Sheri Nguyen",14,21816975.33,Whale
1183,"Kendra Lawson",15,21609558.25,Whale
1555,"Michael Moore",16,21341071.31,Whale
327,"Kenneth Berry",15,20739291.33,Whale
305,"Victoria Andrews",16,20550499.91,Whale
1236,"Joshua Holloway",14,20511589.20,Whale
1787,"Erica Solomon",15,20466178.58,Whale
304,"David Clarke",14,20258667.01,Whale
984,"Alex Mullen",19,19910637.51,Whale
151,"Robert Pierce",14,19821410.75,Whale
799,"Joshua Weaver",16,19675331.98,Whale
922,"Stephanie Wells",18,19464401.89,Whale
1446,"Veronica Salinas",16,19070430.74,Whale
44,"Nicholas Cantu",15,18901582.27,Whale
